epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4943,2.3499,3.84846,2.17263,0.00657,0.35714,0.0032,0.00058,3.66616,92.6095,4.69551,0.000463102,0.000463102,0.000463102
2,48.8531,2.2235,2.9494,2.12587,0.00137,0.21429,0.0003,4e-05,nan,nan,nan,0.000936335,0.000936335,0.000936335
3,69.6373,2.26199,3.05243,2.23883,0,0,0,0,3.30136,nan,3.4556,0.00140642,0.00140642,0.00140642
4,90.0529,2.26322,2.93323,2.24009,0.00153,0.5,0.00106,0.0003,3.06137,inf,23.1868,0.00141485,0.00141485,0.00141485
5,111.591,2.24919,2.92081,2.24878,0.00168,0.35714,0.00078,0.00028,3.18817,inf,8.05946,0.00141014,0.00141014,0.00141014
6,133.036,2.26775,2.87705,2.23738,0.04831,0.18165,0.01406,0.00222,3.40288,17.6181,3.93156,0.00140542,0.00140542,0.00140542
7,155.208,2.20215,2.80176,2.16013,0.06427,0.14286,0.02593,0.00456,2.9821,23.982,4.05605,0.00140071,0.00140071,0.00140071
8,176.789,2.22022,2.77807,2.19011,0.02206,0.14286,0.00732,0.00118,3.41212,160.074,7.19386,0.00139599,0.00139599,0.00139599
9,197.665,2.09159,2.78848,2.11377,0.33377,0.07143,0.10308,0.02179,2.89062,6.13375,3.339,0.00139127,0.00139127,0.00139127
10,219.447,2.1253,2.69803,2.11796,0.03555,0.07143,0.04313,0.01642,2.66024,6.71898,3.33334,0.00138656,0.00138656,0.00138656
11,240.646,2.07576,2.71914,2.10168,0.05371,0.07143,0.02896,0.00957,2.76463,4.94885,3.16317,0.00138184,0.00138184,0.00138184
12,261.778,2.09017,2.6902,2.09827,0.0055,0.07143,0.00781,0.002,3.32731,5.19861,3.88896,0.00137713,0.00137713,0.00137713
13,282.771,2.06742,2.59588,2.07572,0.0077,0.07143,0.00794,0.00142,2.88808,6.50273,3.3762,0.00137241,0.00137241,0.00137241
14,303.704,2.0288,2.59003,2.0662,0.00949,0.35714,0.00912,0.00217,2.65316,4.64683,3.05343,0.0013677,0.0013677,0.0013677
15,324.895,2.02274,2.51714,2.02494,0.00804,0.28571,0.00846,0.00251,2.56867,6.33884,3.11108,0.00136298,0.00136298,0.00136298
16,345.775,2.01377,2.48345,2.01365,0.0637,0.35714,0.04044,0.01058,2.83292,4.73258,3.48359,0.00135826,0.00135826,0.00135826
